batter,season,batting_team,matches,total_runs,balls_faced,fours,sixes,highest_score,strike_rate
A Ashish Reddy,2012,Deccan Chargers,5,35,29,3,1,10,120.69
A Ashish Reddy,2013,Sunrisers Hyderabad,10,125,89,8,5,36,140.45
A Ashish Reddy,2015,Sunrisers Hyderabad,5,73,46,3,5,22,158.7
A Ashish Reddy,2016,Sunrisers Hyderabad,3,47,29,2,4,32,162.07
A Badoni,2022,Lucknow Super Giants,11,161,130,11,7,54,123.85
A Badoni,2023,Lucknow Super Giants,12,238,171,13,12,59,139.18
A Badoni,2024,Lucknow Super Giants,12,235,171,22,5,55,137.43
A Badoni,2025,Lucknow Super Giants,11,329,221,27,14,74,148.87
A Chandila,2012,Rajasthan Royals,1,0,1,0,0,0,0.0
A Chandila,2013,Rajasthan Royals,1,4,6,0,0,4,66.67
A Chopra,2008,Kolkata Knight Riders,5,42,52,5,0,24,80.77
A Chopra,2009,Kolkata Knight Riders,1,11,19,2,0,11,57.89
A Choudhary,2017,Royal Challengers Bangalore,3,25,20,1,1,15,125.0
A Dananjaya,2018,Mumbai Indians,1,4,5,0,0,4,80.0
A Flintoff,2009,Chennai Super Kings,3,62,53,5,2,24,116.98
A Kamboj,2024,Mumbai Indians,1,2,2,0,0,2,100.0
A Kamboj,2025,Chennai Super Kings,5,14,12,2,0,5,116.67
A Kumble,2008,Royal Challengers Bangalore,4,13,17,1,0,8,76.47
A Kumble,2009,Royal Challengers Bangalore,6,16,19,2,0,7,84.21
A Kumble,2010,Royal Challengers Bangalore,5,6,11,0,0,2,54.55
A Manohar,2022,Gujarat Titans,7,108,75,14,3,43,144.0
A Manohar,2023,Gujarat Titans,6,114,83,6,7,42,137.35
A Manohar,2024,Gujarat Titans,2,9,16,1,0,8,56.25
A Manohar,2025,Sunrisers Hyderabad,5,61,61,2,4,43,100.0
A Mhatre,2025,Chennai Super Kings,7,240,127,31,11,94,188.98
A Mishra,2008,Delhi Daredevils,3,37,42,3,0,31,88.1
A Mishra,2009,Delhi Daredevils,5,26,20,2,2,13,130.0
A Mishra,2010,Delhi Daredevils,7,39,50,1,0,12,78.0
A Mishra,2011,Deccan Chargers,9,68,49,9,1,25,138.78
A Mishra,2012,Deccan Chargers,5,16,20,1,0,8,80.0
A Mishra,2013,Sunrisers Hyderabad,6,89,95,9,0,30,93.68
A Mishra,2014,Sunrisers Hyderabad,2,4,7,0,0,4,57.14
A Mishra,2015,Delhi Daredevils,4,8,12,0,0,4,66.67
A Mishra,2016,Delhi Daredevils,2,4,14,0,0,3,28.57
A Mishra,2017,Delhi Daredevils,6,49,52,2,2,13,94.23
A Mishra,2018,Delhi Daredevils,1,1,2,0,0,1,50.0
A Mishra,2019,Delhi Capitals,4,21,24,2,0,8,87.5
A Mishra,2023,Lucknow Super Giants,1,19,30,2,0,19,63.33
A Mithun,2010,Royal Challengers Bangalore,1,5,4,1,0,5,125.0
A Mithun,2011,Royal Challengers Bangalore,4,27,20,3,1,11,135.0
A Mithun,2013,Royal Challengers Bangalore,1,2,2,0,0,2,100.0
A Mukund,2008,Chennai Super Kings,1,0,1,0,0,0,0.0
A Mukund,2013,Royal Challengers Bangalore,1,19,21,1,0,19,90.48
A Nehra,2008,Mumbai Indians,3,3,12,0,0,2,25.0
A Nehra,2009,Delhi Daredevils,1,1,1,0,0,1,100.0
A Nehra,2010,Delhi Daredevils,2,23,19,2,1,22,121.05
A Nehra,2012,Pune Warriors,2,11,12,1,0,9,91.67
A Nehra,2013,Delhi Daredevils,4,1,8,0,0,1,12.5
A Nehra,2015,Chennai Super Kings,4,1,7,0,0,1,14.29
A Nehra,2016,Sunrisers Hyderabad,1,1,1,0,0,1,100.0
A Nortje,2020,Delhi Capitals,3,7,6,0,0,3,116.67
A Nortje,2022,Delhi Capitals,1,1,6,0,0,1,16.67
A Nortje,2023,Delhi Capitals,7,37,29,6,0,23,127.59
A Nortje,2024,Delhi Capitals,2,4,8,0,0,4,50.0
A Raghuvanshi,2024,Kolkata Knight Riders,7,163,105,16,8,54,155.24
