bowler,season,bowling_team,matches,balls_bowled,overs_bowled,runs_given,wickets,economy_rate,bowling_average
A Ashish Reddy,2012,Deccan Chargers,9,163,27.2,237,11,8.72,14.82
A Ashish Reddy,2013,Sunrisers Hyderabad,5,40,6.7,70,3,10.5,13.33
A Ashish Reddy,2015,Sunrisers Hyderabad,4,36,6.0,50,3,8.33,12.0
A Ashish Reddy,2016,Sunrisers Hyderabad,2,23,3.8,39,1,10.17,23.0
A Badoni,2022,Lucknow Super Giants,2,12,2.0,11,2,5.5,6.0
A Badoni,2023,Lucknow Super Giants,1,1,0.2,0,0,0.0,
A Badoni,2024,Lucknow Super Giants,2,12,2.0,25,0,12.5,
A Badoni,2025,Lucknow Super Giants,2,10,1.7,13,2,7.8,5.0
A Chandila,2012,Rajasthan Royals,4,84,14.0,86,5,6.14,16.8
A Chandila,2013,Rajasthan Royals,8,150,25.0,156,6,6.24,25.0
A Choudhary,2017,Royal Challengers Bangalore,5,101,16.8,144,5,8.55,20.2
A Dananjaya,2018,Mumbai Indians,1,24,4.0,47,0,11.75,
A Flintoff,2009,Chennai Super Kings,3,66,11.0,105,2,9.55,33.0
A Kamboj,2024,Mumbai Indians,3,60,10.0,114,2,11.4,30.0
A Kamboj,2025,Chennai Super Kings,8,129,21.5,172,8,8.0,16.13
A Kumble,2008,Royal Challengers Bangalore,10,230,38.3,304,7,7.93,32.86
A Kumble,2009,Royal Challengers Bangalore,16,355,59.2,347,21,5.86,16.9
A Kumble,2010,Royal Challengers Bangalore,16,380,63.3,407,17,6.43,22.35
A Mishra,2008,Delhi Daredevils,6,119,19.8,138,11,6.96,10.82
A Mishra,2009,Delhi Daredevils,11,253,42.2,294,14,6.97,18.07
A Mishra,2010,Delhi Daredevils,14,318,53.0,363,17,6.85,18.71
A Mishra,2011,Deccan Chargers,14,320,53.3,358,19,6.71,16.84
A Mishra,2012,Deccan Chargers,14,282,47.0,377,13,8.02,21.69
A Mishra,2013,Sunrisers Hyderabad,17,372,62.0,394,21,6.35,17.71
A Mishra,2014,Sunrisers Hyderabad,10,225,37.5,340,7,9.07,32.14
A Mishra,2015,Delhi Daredevils,12,241,40.2,310,9,7.72,26.78
A Mishra,2016,Delhi Daredevils,14,276,46.0,344,13,7.48,21.23
A Mishra,2017,Delhi Daredevils,14,233,38.8,343,10,8.83,23.3
A Mishra,2018,Delhi Daredevils,10,222,37.0,264,12,7.14,18.5
A Mishra,2019,Delhi Capitals,11,240,40.0,270,11,6.75,21.82
A Mishra,2020,Delhi Capitals,3,60,10.0,72,3,7.2,20.0
A Mishra,2021,Delhi Capitals,4,84,14.0,109,6,7.79,14.0
