match_id,date,season,match_type,event_name,batting_team,innings,total_runs,total_wickets,overs_played
335982,2008-04-18 00:00:00,2008,T20,Indian Premier League,Kolkata Knight Riders,1,222,159,20
335982,2008-04-18 00:00:00,2008,T20,Indian Premier League,Royal Challengers Bangalore,2,82,505,16
335983,2008-04-19 00:00:00,2008,T20,Indian Premier League,Chennai Super Kings,1,240,349,20
335983,2008-04-19 00:00:00,2008,T20,Indian Premier League,Kings XI Punjab,2,207,199,20
335984,2008-04-19 00:00:00,2008,T20,Indian Premier League,Delhi Daredevils,2,132,88,16
335984,2008-04-19 00:00:00,2008,T20,Indian Premier League,Rajasthan Royals,1,129,527,20
335985,2008-04-20 00:00:00,2008,T20,Indian Premier League,Mumbai Indians,1,165,271,20
335985,2008-04-20 00:00:00,2008,T20,Indian Premier League,Royal Challengers Bangalore,2,166,272,20
335986,2008-04-20 00:00:00,2008,T20,Indian Premier League,Deccan Chargers,1,110,402,19
335986,2008-04-20 00:00:00,2008,T20,Indian Premier League,Kolkata Knight Riders,2,112,375,19
335987,2008-04-21 00:00:00,2008,T20,Indian Premier League,Kings XI Punjab,1,166,386,20
335987,2008-04-21 00:00:00,2008,T20,Indian Premier League,Rajasthan Royals,2,168,344,19
335988,2008-04-22 00:00:00,2008,T20,Indian Premier League,Deccan Chargers,1,142,434,20
335988,2008-04-22 00:00:00,2008,T20,Indian Premier League,Delhi Daredevils,2,143,63,14
335989,2008-04-23 00:00:00,2008,T20,Indian Premier League,Chennai Super Kings,1,208,249,20
335989,2008-04-23 00:00:00,2008,T20,Indian Premier League,Mumbai Indians,2,202,421,20
335990,2008-04-24 00:00:00,2008,T20,Indian Premier League,Deccan Chargers,1,214,314,20
335990,2008-04-24 00:00:00,2008,T20,Indian Premier League,Rajasthan Royals,2,217,279,20
335991,2008-04-25 00:00:00,2008,T20,Indian Premier League,Kings XI Punjab,1,182,351,20
335991,2008-04-25 00:00:00,2008,T20,Indian Premier League,Mumbai Indians,2,116,546,20
335992,2008-04-26 00:00:00,2008,T20,Indian Premier League,Rajasthan Royals,2,138,196,18
335992,2008-04-26 00:00:00,2008,T20,Indian Premier League,Royal Challengers Bangalore,1,135,556,20
335993,2008-04-26 00:00:00,2008,T20,Indian Premier League,Chennai Super Kings,2,152,54,17
335993,2008-04-26 00:00:00,2008,T20,Indian Premier League,Kolkata Knight Riders,1,147,528,20
335994,2008-04-27 00:00:00,2008,T20,Indian Premier League,Deccan Chargers,2,155,0,12
335994,2008-04-27 00:00:00,2008,T20,Indian Premier League,Mumbai Indians,1,154,428,20
335995,2008-04-27 00:00:00,2008,T20,Indian Premier League,Delhi Daredevils,1,158,481,20
335995,2008-04-27 00:00:00,2008,T20,Indian Premier League,Kings XI Punjab,2,162,369,20
335996,2008-04-28 00:00:00,2008,T20,Indian Premier League,Chennai Super Kings,1,178,234,20
335996,2008-04-28 00:00:00,2008,T20,Indian Premier League,Royal Challengers Bangalore,2,165,288,20
335997,2008-04-29 00:00:00,2008,T20,Indian Premier League,Kolkata Knight Riders,1,137,515,20
335997,2008-04-29 00:00:00,2008,T20,Indian Premier League,Mumbai Indians,2,138,286,19
335998,2008-04-30 00:00:00,2008,T20,Indian Premier League,Delhi Daredevils,1,191,178,20
335998,2008-04-30 00:00:00,2008,T20,Indian Premier League,Royal Challengers Bangalore,2,181,340,20
335999,2008-05-01 00:00:00,2008,T20,Indian Premier League,Deccan Chargers,1,164,411,20
335999,2008-05-01 00:00:00,2008,T20,Indian Premier League,Kings XI Punjab,2,167,211,19
